schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000075705,1/19/2018,ATL,MCO,1328,1443,578,-17,1
SC000075726,1/19/2018,ATL,PHX,1025,1222,301,-23,1
SC000075747,1/19/2018,ATL,TPA,1335,1454,465,-1,1
SC000075768,1/19/2018,AUS,DAL,1658,1753,6257,48,3
SC000075789,1/19/2018,AUS,LAX,717,820,210,-30,1
SC000075810,1/19/2018,AUS,STL,1303,1508,1692,3,3
SC000075831,1/19/2018,BHM,HOU,543,734,295,-11,1
SC000075852,1/19/2018,BNA,CLE,2107,2329,6159,-6,1
SC000075873,1/19/2018,BNA,FLL,1918,2215,5405,-15,1
SC000075894,1/19/2018,BNA,MCO,1443,1719,1626,-11,1
SC000075915,1/19/2018,BNA,PIT,945,1212,378,-3,1
SC000075936,1/19/2018,BOI,OAK,656,744,383,-1,1
SC000075957,1/19/2018,BOS,DEN,1837,2102,808,2,3
SC000075978,1/19/2018,BUF,MDW,513,545,419,-20,1
SC000075999,1/19/2018,BUR,OAK,1448,1555,1507,20,3
SC000076020,1/19/2018,BUR,SJC,1452,1603,479,-2,1
SC000076041,1/19/2018,BWI,ALB,1039,1150,291,-10,1
